1.000000000000000056e-01,-0.000000000000000000e+00,-2.204383808383232890e-01,-3.681320959999999364e-28
9.999229055477759642e-02,-1.843579188758593095e-03,-2.204213862621033915e-01,-3.681037150577126939e-28
9.996916340782129040e-02,-3.686874118061807867e-03,-2.203704051538188102e-01,-3.680185766068774679e-28
9.993062212508052600e-02,-5.529600572283919872e-03,-2.202854453741907581e-01,-3.678766937748985850e-28
9.987667264919349031e-02,-7.371474423451757421e-03,-2.201665200230746022e-01,-3.676780884385346313e-28
9.980732329857074092e-02,-9.212211675054074803e-03,-2.200136474374399242e-01,-3.674227912205247090e-28
9.972258476611267630e-02,-1.105152850583066872e-02,-2.198268511885432264e-01,-3.671108414848672041e-28
9.962247011756081294e-02,-1.288914131353447595e-02,-2.196061600782935053e-01,-3.667422873307501684e-28
9.950699478948309140e-02,-1.472476675865986954e-02,-2.193516081348112212e-01,-3.663171855851347513e-28
9.937617658689384958e-02,-1.655812180813049164e-02,-2.190632346071816894e-01,-3.658356017939934746e-28
9.923003568050842160e-02,-1.838892377893979954e-02,-2.187410839594032264e-01,-3.652976102122034404e-28
9.906859460363308389e-02,-2.021689038173764968e-02,-2.183852058635312732e-01,-3.647032937920972515e-28
9.889187824869058452e-02,-2.204173976435619062e-02,-2.179956551920195218e-01,-3.640527441706726319e-28
9.869991386338211603e-02,-2.386319055526833766e-02,-2.175724920092592940e-01,-3.633460616554630333e-28
9.849273104648591237e-02,-2.568096190697213496e-02,-2.171157815623180887e-01,-3.625833552090712463e-28
9.827036174329353835e-02,-2.749477353929431767e-02,-2.166255942708793514e-01,-3.617647424323685713e-28
9.803284024068426028e-02,-2.930434578260642312e-02,-2.161020057163846042e-01,-3.608903495463623309e-28
9.778020316183833049e-02,-3.110939962094674133e-02,-2.155450966303793792e-01,-3.599603113727336050e-28
9.751248946059015710e-02,-3.290965673504146760e-02,-2.149549528820655642e-01,-3.589747713130495398e-28
9.722974041542203905e-02,-3.470483954521845493e-02,-2.143316654650611330e-01,-3.579338813266521139e-28
9.693199962309949347e-02,-3.649467125420691876e-02,-2.136753304833701461e-01,-3.568378019072281588e-28
